ISO1-BL	CanS-SI	OreR-PB1	w118
	chr3R_27405001	chr2R_11375001	chrX_2840001
	chr3R_27490001	chr2R_11535001	chrX_3050001
	chr3R_27625001	chr2R_11570001	chrX_3115001
	chr3R_27730001	chr2R_11575001	chrX_3200001
	chr3R_28800001	chr2R_11610001	chrX_3230001
	chr3R_28875001	chr2R_11725001	chrX_3255001
	chr3R_28970001	chr2R_11745001	chrX_3310001
	chr3R_29040001	chr2R_11950001	chrX_3430001
	chr3R_29210001	chr2R_11965001	chrX_3525001
	chr3R_29335001	chr2R_12055001	chrX_3560001
	chr3R_29420001	chr2R_12120001	chrX_3700001
	chr3R_29475001	chr2R_12185001	chrX_3815001
	chr3R_30485001	chr2R_12190001	chrX_4820001
	chr3R_30500001	chr2R_12200001	chrX_4880001
	chr3R_30625001	chr2R_12220001	chrX_5110001
	chr3R_30675001	chr2R_12245001	chrX_5145001
	chr3R_30810001	chr2R_12300001	chrX_5450001
	chr3R_31095001	chr2R_12415001	chrX_5715001
	chr3R_31175001	chr2R_12475001	chrX_5800001
	chr3R_31230001	chr2R_12500001	chrX_6400001
	chr3R_31540001	chr2R_12890001	chrX_6940001
	chr3R_31745001	chr2R_12960001	chrX_7210001
	chr3R_31950001	chr2R_13030001	chrX_7755001
	chr4_155001	chr2R_13045001	chrX_8025001
	chr4_245001	chr2R_13280001	chrX_8205001
	chr4_440001	chr2R_13370001	chrX_8320001
	chr4_1035001	chr2R_13415001	chrX_8355001
	chr4_1035001	chr2R_13490001	chrX_8855001
	chrX_935001	chr2R_13540001	chrX_8910001
	chrX_1245001	chr2R_13585001	chrX_8915001
	chrX_1580001	chr2R_13585001	chrX_8920001
	chrX_1830001	chr2R_13635001	chrX_9025001
	chrX_2965001	chr2R_13675001	chrX_9150001
	chrX_3655001	chr2R_13715001	chrX_9885001
	chrX_4395001	chr2R_13915001	chrX_9955001
	chrX_4810001	chr2R_14025001	chrX_10180001
	chrX_4835001	chr2R_14075001	chrX_10275001
	chrX_5040001	chr2R_14080001	chrX_10405001
	chrX_5540001	chr2R_14135001	chrX_10415001
	chrX_5540001	chr2R_14225001	chrX_10415001
	chrX_5600001	chr2R_14280001	chrX_10435001
	chrX_5885001	chr2R_14330001	chrX_10575001
	chrX_6210001	chr2R_14385001	chrX_11220001
	chrX_8025001	chr2R_14475001	chrX_11265001
	chrX_8120001	chr2R_14490001	chrX_11465001
	chrX_8345001	chr2R_14515001	chrX_11530001
	chrX_8975001	chr2R_14580001	chrX_11945001
	chrX_9050001	chr2R_14585001	chrX_12070001
	chrX_9340001	chr2R_14635001	chrX_12085001
	chrX_9940001	chr2R_14635001	chrX_12375001
	chrX_10115001	chr2R_14655001	chrX_12715001
	chrX_10210001	chr2R_14680001	chrX_12815001
	chrX_10315001	chr2R_14725001	chrX_14410001
	chrX_10450001	chr2R_14880001	chrX_14680001
	chrX_10775001	chr2R_14915001	chrX_14815001
	chrX_10945001	chr2R_14945001	chrX_15010001
	chrX_11220001	chr2R_15000001	chrX_15025001
	chrX_11280001	chr2R_15005001	chrX_15090001
	chrX_11460001	chr2R_15160001	chrX_15200001
	chrX_11510001	chr2R_15165001	chrX_15365001
	chrX_11625001	chr2R_15300001	chrX_15575001
	chrX_12385001	chr2R_15310001	chrX_15595001
	chrX_12840001	chr2R_15310001	chrX_15825001
	chrX_13315001	chr2R_15370001	chrX_16215001
	chrX_13375001	chr2R_15370001	chrX_16245001
	chrX_13645001	chr2R_15445001	chrX_16855001
	chrX_13915001	chr2R_15555001	chrX_16865001
	chrX_14315001	chr2R_15580001	chrX_17105001
	chrX_14445001	chr2R_15690001	chrX_17245001
	chrX_14545001	chr2R_15790001	chrX_17565001
	chrX_15010001	chr2R_15830001	chrX_17695001
	chrX_15080001	chr2R_15930001	chrX_18190001
	chrX_15190001	chr2R_15945001	chrX_18360001
	chrX_15285001	chr2R_16035001	chrX_18550001
	chrX_15560001	chr2R_16120001	chrX_18640001
	chrX_15600001	chr2R_16355001	chrX_18650001
	chrX_16720001	chr2R_16375001	chrX_18705001
	chrX_16875001	chr2R_16380001	chrX_19075001
	chrX_17110001	chr2R_16405001	chrX_19355001
	chrX_17165001	chr2R_16450001	chrX_19595001
	chrX_17245001	chr2R_16655001	chrX_20105001
	chrX_17565001	chr2R_16715001	chrX_20285001
	chrX_18190001	chr2R_16725001	chrX_20605001
	chrX_18360001	chr2R_16730001	chrX_20790001
	chrX_18550001	chr2R_16830001	chrX_20805001
	chrX_18565001	chr2R_16870001	chrX_20980001
	chrX_19185001	chr2R_16960001	chrX_21085001
	chrX_19380001	chr2R_16975001	chrX_21195001
	chrX_19385001	chr2R_17220001	chrX_21200001
	chrX_19980001	chr2R_17270001	chrX_21205001
	chrX_20080001	chr2R_17315001	chrX_21245001
	chrX_20315001	chr2R_17325001	chrX_21245001
	chrX_20575001	chr2R_17345001	chrX_21320001
	chrX_20790001	chr2R_17460001	chrX_22460001
	chrX_20805001	chr2R_17510001	chrY_1445001
	chrX_20980001	chr2R_17610001	chrY_1445001
	chrY_1445001	chr2R_17680001	
		chr2R_17715001	
		chr2R_17870001	
		chr2R_17875001	
		chr2R_17890001	
		chr2R_17895001	
		chr2R_17925001	
		chr2R_18500001	
		chr2R_18525001	
		chr2R_18540001	
		chr2R_18540001	
		chr2R_18550001	
		chr2R_18715001	
		chr2R_18730001	
		chr2R_18780001	
		chr2R_18805001	
		chr2R_18980001	
		chr2R_18985001	
		chr2R_18985001	
		chr2R_19000001	
		chr2R_19140001	
		chr2R_19165001	
		chr2R_19200001	
		chr2R_19410001	
		chr2R_19410001	
		chr2R_19445001	
		chr2R_19515001	
		chr2R_19525001	
		chr2R_19560001	
		chr2R_19580001	
		chr2R_19695001	
		chr2R_19780001	
		chr2R_19795001	
		chr2R_19870001	
		chr2R_19925001	
		chr2R_20045001	
		chr2R_20090001	
		chr2R_20310001	
		chr2R_20310001	
		chr2R_20345001	
		chr2R_20385001	
		chr2R_20395001	
		chr2R_20570001	
		chr2R_20655001	
		chr2R_20695001	
		chr2R_20765001	
		chr2R_20815001	
		chr2R_20840001	
		chr2R_20840001	
		chr2R_20870001	
		chr2R_21145001	
		chr2R_21225001	
		chr2R_21260001	
		chr2R_21365001	
		chr2R_21400001	
		chr2R_21505001	
		chr2R_21640001	
		chr2R_21755001	
		chr2R_21770001	
		chr2R_21790001	
		chr2R_21940001	
		chr2R_22090001	
		chr2R_22210001	
		chr2R_22525001	
		chr2R_22615001	
		chr2R_22665001	
		chr2R_22665001	
		chr2R_22745001	
		chr2R_22775001	
		chr2R_22810001	
		chr2R_22820001	
		chr2R_22830001	
		chr2R_22980001	
		chr2R_23220001	
		chr2R_23250001	
		chr2R_23435001	
		chr2R_23450001	
		chr2R_23485001	
		chr2R_23495001	
		chr2R_23505001	
		chr2R_23595001	
		chr2R_23655001	
		chr2R_23670001	
		chr2R_23945001	
		chr2R_23960001	
		chr2R_24080001	
		chr2R_24220001	
		chr2R_24290001	
		chr2R_24485001	
		chr2R_24495001	
		chr2R_24550001	
		chr2R_24585001	
		chr2R_24760001	
		chr2R_25035001	
		chr2R_25110001	
		chr2R_25140001	
		chr2R_25200001	
		chr2R_25240001	
		chr2R_25245001	
		chr3L_365001	
		chr3L_535001	
		chr3L_645001	
		chr3L_955001	
		chr3L_1320001	
		chr3L_1365001	
		chr3L_1395001	
		chr3L_1400001	
		chr3L_1405001	
		chr3L_1915001	
		chr3L_1940001	
		chr3L_1975001	
		chr3L_1975001	
		chr3L_2425001	
		chr3L_2515001	
		chr3L_2570001	
		chr3L_2620001	
		chr3L_2710001	
		chr3L_2835001	
		chr3L_2915001	
		chr3L_2990001	
		chr3L_3105001	
		chr3L_3385001	
		chr3L_3480001	
		chr3L_3795001	
		chr3L_4125001	
		chr3L_4410001	
		chr3L_4965001	
		chr3L_4995001	
		chr3L_5000001	
		chr3L_5040001	
		chr3L_5200001	
		chr3L_5220001	
		chr3L_5535001	
		chr3L_5675001	
		chr3L_5975001	
		chr3L_5990001	
		chr3L_5995001	
		chr3L_5995001	
		chr3L_5995001	
		chr3L_6090001	
		chr3L_6325001	
		chr3L_6535001	
		chr3L_6535001	
		chr3L_6625001	
		chr3L_6640001	
		chr3L_6925001	
		chr3L_6980001	
		chr3L_7075001	
		chr3L_7130001	
		chr3L_7215001	
		chr3L_7405001	
		chr3L_7585001	
		chr3L_7775001	
		chr3L_7910001	
		chr3L_7995001	
		chr3L_8030001	
		chr3L_8395001	
		chr3L_8615001	
		chr3L_8690001	
		chr3L_8805001	
		chr3L_8970001	
		chr3L_9395001	
		chr3L_9505001	
		chr3L_9770001	
		chr3L_9855001	
		chr3L_9900001	
		chr3L_9925001	
		chr3L_10035001	
		chr3L_10045001	
		chr3L_10080001	
		chr3L_10080001	
		chr3L_10210001	
		chr3L_10335001	
		chr3L_10590001	
		chr3L_10805001	
		chr3L_10820001	
		chr3L_10845001	
		chr3L_10865001	
		chr3L_10890001	
		chr3L_11055001	
		chr3L_11085001	
		chr3L_11540001	
		chr3L_11755001	
		chr3L_11835001	
		chr3L_12300001	
		chr3L_12355001	
		chr3L_12625001	
		chr3L_12720001	
		chr3L_12740001	
		chr3L_12825001	
		chr3L_12880001	
		chr3L_12880001	
		chr3L_12945001	
		chr3L_12980001	
		chr3L_13145001	
		chr3L_13195001	
		chr3L_13365001	
		chr3L_13430001	
		chr3L_13495001	
		chr3L_13545001	
		chr3L_13555001	
		chr3L_13565001	
		chr3L_13600001	
		chr3L_13610001	
		chr3L_13625001	
		chr3L_13635001	
		chr3L_13655001	
		chr3L_13680001	
		chr3L_13745001	
		chr3L_13885001	
		chr3L_13950001	
		chr3L_13955001	
		chr3L_14090001	
		chr3L_14090001	
		chr3L_14300001	
		chr3L_14820001	
		chr3L_14855001	
		chr3L_15025001	
		chr3L_15035001	
		chr3L_15055001	
		chr3L_15095001	
		chr3L_15225001	
		chr3L_15260001	
		chr3L_15330001	
		chr3L_15335001	
		chr3L_15375001	
		chr3L_15475001	
		chr3L_15530001	
		chr3L_16010001	
		chr3L_16010001	
		chr3L_16045001	
		chr3L_16175001	
		chr3L_16315001	
		chr3L_16445001	
		chr3L_16690001	
		chr3L_16695001	
		chr3L_16870001	
		chr3L_16970001	
		chr3L_17045001	
		chr3L_17130001	
		chr3L_17160001	
		chr3L_17175001	
		chr3L_17345001	
		chr3L_17350001	
		chr3L_17350001	
		chr3L_17380001	
		chr3L_17395001	
		chr3L_17405001	
		chr3L_17440001	
		chr3L_17525001	
		chr3L_17675001	
		chr3L_17705001	
		chr3L_17900001	
		chr3L_18060001	
		chr3L_18090001	
		chr3L_18180001	
		chr3L_18240001	
		chr3L_18295001	
		chr3L_18350001	
		chr3L_18415001	
		chr3L_18495001	
		chr3L_18560001	
		chr3L_18595001	
		chr3L_18635001	
		chr3L_18705001	
		chr3L_18815001	
		chr3L_18860001	
		chr3L_18860001	
		chr3L_19000001	
		chr3L_19125001	
		chr3L_19335001	
		chr3L_19395001	
		chr3L_19440001	
		chr3L_19455001	
		chr3L_19510001	
		chr3L_19540001	
		chr3L_19585001	
		chr3L_19775001	
		chr3L_19785001	
		chr3L_19930001	
		chr3L_19950001	
		chr3L_19965001	
		chr3L_20080001	
		chr3L_20185001	
		chr3L_20220001	
		chr3L_20255001	
		chr3L_20255001	
		chr3L_20270001	
		chr3L_20360001	
		chr3L_20490001	
		chr3L_20725001	
		chr3L_20730001	
		chr3L_20845001	
		chr3L_20860001	
		chr3L_20865001	
		chr3L_20895001	
		chr3L_20895001	
		chr3L_20910001	
		chr3L_21160001	
		chr3L_21270001	
		chr3L_21325001	
		chr3L_21495001	
		chr3L_21555001	
		chr3L_21855001	
		chr3L_21900001	
		chr3L_22105001	
		chr3L_22110001	
		chr3L_22190001	
		chr3L_22310001	
		chr3L_22345001	
		chr3L_22420001	
		chr3L_22450001	
		chr3L_22455001	
		chr3L_22495001	
		chr3L_22500001	
		chr3L_22515001	
		chr3L_22550001	
		chr3L_22550001	
		chr3L_22635001	
		chr3L_22635001	
		chr3L_22635001	
		chr3L_22685001	
		chr3L_22720001	
		chr3L_22740001	
		chr3L_22845001	
		chr3L_22910001	
		chr3L_22935001	
		chr3L_22945001	
		chr3L_22980001	
		chr3L_23250001	
		chr3L_23425001	
		chr3L_23595001	
		chr3L_23725001	
		chr3L_23870001	
		chr3L_24270001	
		chr3L_24535001	
		chr3L_25230001	
		chr3L_25270001	
		chr3L_25480001	
		chr3L_25750001	
		chr3L_27170001	
		chr3L_27170001	
		chr3L_27410001	
		chr3R_430001	
		chr3R_900001	
		chr3R_1610001	
		chr3R_2335001	
		chr3R_2395001	
		chr3R_4545001	
		chr3R_4550001	
		chr3R_4550001	
		chr3R_4575001	
		chr3R_4615001	
		chr3R_4880001	
		chr3R_4990001	
		chr3R_5515001	
		chr3R_5725001	
		chr3R_5800001	
		chr3R_5925001	
		chr3R_5945001	
		chr3R_5975001	
		chr3R_6145001	
		chr3R_6240001	
		chr3R_6325001	
		chr3R_6430001	
		chr3R_6525001	
		chr3R_6550001	
		chr3R_6820001	
		chr3R_7030001	
		chr3R_7215001	
		chr3R_7355001	
		chr3R_7435001	
		chr3R_7475001	
		chr3R_7490001	
		chr3R_7490001	
		chr3R_7500001	
		chr3R_7540001	
		chr3R_7550001	
		chr3R_7750001	
		chr3R_7770001	
		chr3R_7860001	
		chr3R_8055001	
		chr3R_8065001	
		chr3R_8385001	
		chr3R_8550001	
		chr3R_8820001	
		chr3R_8890001	
		chr3R_9000001	
		chr3R_9105001	
		chr3R_9110001	
		chr3R_9210001	
		chr3R_9280001	
		chr3R_9285001	
		chr3R_9345001	
		chr3R_9360001	
		chr3R_9475001	
		chr3R_9540001	
		chr3R_9650001	
		chr3R_9955001	
		chr3R_10085001	
		chr3R_10235001	
		chr3R_10390001	
		chr3R_10435001	
		chr3R_10460001	
		chr3R_10740001	
		chr3R_10835001	
		chr3R_10925001	
		chr3R_10955001	
		chr3R_10960001	
		chr3R_11115001	
		chr3R_11145001	
		chr3R_11185001	
		chr3R_11270001	
		chr3R_11315001	
		chr3R_11420001	
		chr3R_11455001	
		chr3R_11550001	
		chr3R_11770001	
		chr3R_11830001	
		chr3R_11895001	
		chr3R_11920001	
		chr3R_11935001	
		chr3R_11955001	
		chr3R_12050001	
		chr3R_12240001	
		chr3R_12510001	
		chr3R_12550001	
		chr3R_12730001	
		chr3R_12740001	
		chr3R_12780001	
		chr3R_12785001	
		chr3R_12790001	
		chr3R_12865001	
		chr3R_12940001	
		chr3R_12970001	
		chr3R_13080001	
		chr3R_13140001	
		chr3R_13170001	
		chr3R_13180001	
		chr3R_13195001	
		chr3R_13200001	
		chr3R_13240001	
		chr3R_13280001	
		chr3R_13320001	
		chr3R_13355001	
		chr3R_13445001	
		chr3R_13500001	
		chr3R_13620001	
		chr3R_13730001	
		chr3R_13890001	
		chr3R_13975001	
		chr3R_14035001	
		chr3R_14045001	
		chr3R_14095001	
		chr3R_14225001	
		chr3R_14350001	
		chr3R_14605001	
		chr3R_14685001	
		chr3R_14840001	
		chr3R_14950001	
		chr3R_15005001	
		chr3R_15050001	
		chr3R_15155001	
		chr3R_15155001	
		chr3R_15165001	
		chr3R_15360001	
		chr3R_15360001	
		chr3R_15630001	
		chr3R_15655001	
		chr3R_15710001	
		chr3R_15790001	
		chr3R_15805001	
		chr3R_16105001	
		chr3R_16120001	
		chr3R_16220001	
		chr3R_16285001	
		chr3R_16345001	
		chr3R_16405001	
		chr3R_16410001	
		chr3R_16505001	
		chr3R_16795001	
		chr3R_16795001	
		chr3R_16960001	
		chr3R_17050001	
		chr3R_17120001	
		chr3R_17180001	
		chr3R_17240001	
		chr3R_17270001	
		chr3R_17525001	
		chr3R_17730001	
		chr3R_17835001	
		chr3R_17975001	
		chr3R_18040001	
		chr3R_18155001	
		chr3R_18160001	
		chr3R_18200001	
		chr3R_18315001	
		chr3R_18345001	
		chr3R_18505001	
		chr3R_18735001	
		chr3R_18790001	
		chr3R_18800001	
		chr3R_18815001	
		chr3R_18845001	
		chr3R_18875001	
		chr3R_18930001	
		chr3R_18935001	
		chr3R_19510001	
		chr3R_19540001	
		chr3R_19650001	
		chr3R_19675001	
		chr3R_19950001	
		chr3R_20075001	
		chr3R_20080001	
		chr3R_20150001	
		chr3R_20290001	
		chr3R_20475001	
		chr3R_20900001	
		chr3R_20980001	
		chr3R_21015001	
		chr3R_21325001	
		chr3R_21475001	
		chr3R_21590001	
		chr3R_21615001	
		chr3R_21940001	
		chr3R_22095001	
		chr3R_22260001	
		chr3R_22310001	
		chr3R_22325001	
		chr3R_22660001	
		chr3R_22750001	
		chr3R_22860001	
		chr3R_23180001	
		chr3R_23225001	
		chr3R_23235001	
		chr3R_23450001	
		chr3R_23600001	
		chr3R_23630001	
		chr3R_23885001	
		chr3R_23890001	
		chr3R_23910001	
		chr3R_24425001	
		chr3R_24445001	
		chr3R_24565001	
		chr3R_25205001	
		chr3R_25215001	
		chr3R_25240001	
		chr3R_25355001	
		chr3R_25385001	
		chr3R_25515001	
		chr3R_25520001	
		chr3R_25535001	
		chr3R_25545001	
		chr3R_25555001	
		chr3R_25555001	
		chr3R_25575001	
		chr3R_25750001	
		chr3R_25865001	
		chr3R_26085001	
		chr3R_26180001	
		chr3R_26220001	
		chr3R_26290001	
		chr3R_26425001	
		chr3R_26655001	
		chr3R_26770001	
		chr3R_26770001	
		chr3R_26775001	
		chr3R_26820001	
		chr3R_27150001	
		chr3R_27220001	
		chr3R_27340001	
		chr3R_27370001	
		chr3R_27410001	
		chr3R_27440001	
		chr3R_27575001	
		chr3R_27850001	
		chr3R_27875001	
		chr3R_28080001	
		chr3R_28105001	
		chr3R_28120001	
		chr3R_28200001	
		chr3R_28235001	
		chr3R_28250001	
		chr3R_28255001	
		chr3R_28300001	
		chr3R_28340001	
		chr3R_28375001	
		chr3R_28400001	
		chr3R_28400001	
		chr3R_28435001	
		chr3R_28645001	
		chr3R_28670001	
		chr3R_28710001	
		chr3R_28730001	
		chr3R_28730001	
		chr3R_28775001	
		chr3R_28800001	
		chr3R_28930001	
		chr3R_29215001	
		chr3R_29390001	
		chr3R_29430001	
		chr3R_29455001	
		chr3R_29510001	
		chr3R_29615001	
		chr3R_29645001	
		chr3R_30235001	
		chr3R_30260001	
		chr3R_30355001	
		chr3R_30585001	
		chr3R_30665001	
		chr3R_30775001	
		chr3R_31005001	
		chr3R_31045001	
		chr3R_31845001	
		chr3R_31855001	
		chr3R_31875001	
		chr3R_31885001	
		chr3R_32005001	
		chr3R_32070001	
		chr4_310001	
		chr4_310001	
		chr4_315001	
		chr4_470001	
		chr4_490001	
		chr4_555001	
		chr4_720001	
		chr4_895001	
		chr4_905001	
		chr4_1025001	
		chr4_1110001	
		chrX_175001	
		chrX_420001	
		chrX_530001	
		chrX_645001	
		chrX_670001	
		chrX_710001	
		chrX_885001	
		chrX_975001	
		chrX_1055001	
		chrX_1105001	
		chrX_1450001	
		chrX_1580001	
		chrX_1725001	
		chrX_1820001	
		chrX_1840001	
		chrX_1900001	
		chrX_2255001	
		chrX_2350001	
		chrX_2365001	
		chrX_2440001	
		chrX_2465001	
		chrX_2545001	
		chrX_2550001	
		chrX_2745001	
		chrX_2775001	
		chrX_2775001	
		chrX_2915001	
		chrX_2935001	
		chrX_3060001	
		chrX_3095001	
		chrX_3105001	
		chrX_3265001	
		chrX_3390001	
		chrX_3435001	
		chrX_3645001	
		chrX_3700001	
		chrX_3705001	
		chrX_4190001	
		chrX_4260001	
		chrX_4880001	
		chrX_5140001	
		chrX_5145001	
		chrX_5450001	
		chrX_5540001	
		chrX_5545001	
		chrX_5545001	
		chrX_5630001	
		chrX_5815001	
		chrX_6275001	
		chrX_6390001	
		chrX_6400001	
		chrX_6510001	
		chrX_6890001	
		chrX_7045001	
		chrX_7150001	
		chrX_7610001	
		chrX_7640001	
		chrX_7790001	
		chrX_7810001	
		chrX_7885001	
		chrX_8025001	
		chrX_8035001	
		chrX_8185001	
		chrX_8200001	
		chrX_8205001	
		chrX_8355001	
		chrX_8410001	
		chrX_8500001	
		chrX_8540001	
		chrX_8580001	
		chrX_8620001	
		chrX_8855001	
		chrX_8910001	
		chrX_8920001	
		chrX_8940001	
		chrX_9025001	
		chrX_9295001	
		chrX_9515001	
		chrX_9885001	
		chrX_9905001	
		chrX_9955001	
		chrX_9955001	
		chrX_10110001	
		chrX_10115001	
		chrX_10160001	
		chrX_10180001	
		chrX_10185001	
		chrX_10385001	
		chrX_10405001	
		chrX_10415001	
		chrX_10415001	
		chrX_10445001	
		chrX_10535001	
		chrX_10570001	
		chrX_10925001	
		chrX_11040001	
		chrX_11175001	
		chrX_11280001	
		chrX_11420001	
		chrX_11460001	
		chrX_11570001	
		chrX_11615001	
		chrX_11625001	
		chrX_11805001	
		chrX_12085001	
		chrX_12270001	
		chrX_12290001	
		chrX_12310001	
		chrX_12350001	
		chrX_12545001	
		chrX_12565001	
		chrX_12720001	
		chrX_12810001	
		chrX_12810001	
		chrX_12820001	
		chrX_12840001	
		chrX_12990001	
		chrX_13000001	
		chrX_13000001	
		chrX_13030001	
		chrX_13135001	
		chrX_13430001	
		chrX_13440001	
		chrX_13450001	
		chrX_13475001	
		chrX_13550001	
		chrX_13580001	
		chrX_13670001	
		chrX_13795001	
		chrX_14010001	
		chrX_14230001	
		chrX_14345001	
		chrX_14360001	
		chrX_14370001	
		chrX_14430001	
		chrX_14525001	
		chrX_14730001	
		chrX_14865001	
		chrX_14890001	
		chrX_14975001	
		chrX_14980001	
		chrX_14990001	
		chrX_14995001	
		chrX_15010001	
		chrX_15145001	
		chrX_15165001	
		chrX_15200001	
		chrX_15365001	
		chrX_15435001	
		chrX_15560001	
		chrX_15595001	
		chrX_15600001	
		chrX_15605001	
		chrX_15900001	
		chrX_16000001	
		chrX_16110001	
		chrX_16195001	
		chrX_16255001	
		chrX_16360001	
		chrX_16640001	
		chrX_16725001	
		chrX_16760001	
		chrX_16850001	
		chrX_16855001	
		chrX_17005001	
		chrX_17205001	
		chrX_17245001	
		chrX_17515001	
		chrX_17565001	
		chrX_18095001	
		chrX_18135001	
		chrX_18150001	
		chrX_18190001	
		chrX_18215001	
		chrX_18360001	
		chrX_18360001	
		chrX_18360001	
		chrX_18550001	
		chrX_18645001	
		chrX_18775001	
		chrX_18835001	
		chrX_19010001	
		chrX_19115001	
		chrX_19185001	
		chrX_19225001	
		chrX_19335001	
		chrX_19505001	
		chrX_19745001	
		chrX_19795001	
		chrX_20105001	
		chrX_20235001	
		chrX_20365001	
		chrX_20580001	
		chrX_20790001	
		chrX_20805001	
		chrX_20860001	
		chrX_20875001	
		chrX_20945001	
		chrX_20995001	
		chrX_20995001	
		chrX_21045001	
		chrX_21085001	
		chrX_21095001	
		chrX_21195001	
		chrX_21200001	
		chrX_21205001	
		chrX_21210001	
		chrX_21230001	
		chrX_21245001	
		chrX_21305001	
		chrX_21320001	
		chrX_21385001	
		chrX_21470001	
		chrX_21560001	
		chrX_21585001	
		chrX_21590001	
		chrX_21635001	
		chrX_21665001	
		chrX_21665001	
		chrX_21770001	
		chrX_21930001	
		chrX_22515001	
		chrX_22515001	
		chrX_22555001	
		chrX_22560001	
		chrX_22595001	
		chrX_22600001	
		chrX_22635001	
		chrX_22725001	
		chrX_22750001	
		chrX_22875001	
		chrX_22910001	
		chrX_22960001	
		chrX_23060001	
		chrX_23100001	
		chrX_23105001	
		chrY_420001	
		chrY_1415001	
